股票代码,股票名称
600242,退市中昌
600240,退市华业
600209,退市罗顿
600205,S山东铝
600181,S*ST云大
600175,退市美都
600170,上海建工
600146,退市环球
600145,退市新亿
600139,*ST西源
600122,*ST宏图
600102,莱钢股份
600093,退市易见
600092,S*ST精密
600091,退市明科
600090,退市济堂
600087,退市长油
600086,退市金钰
600077,*ST宋都
600074,退市保千
600069,退市银鸽
600068,葛洲坝
600065,*ST联谊
600050,中国联通
600023,浙能电力
600015,华夏银行
600008,首创环保
600005,武钢股份
600004,白云机场
600003,ST东北高
600002,齐鲁石化
600001,邯郸钢铁
301591,肯特股份
301589,诺瓦星云
300528,幸福蓝海
300526,中潜退
300431,暴风退
300392,腾信退
300372,欣泰退
300367,网力退
300362,天翔退
300356,光一退
300336,新文退
300330,计通退
300325,德威退
300312,邦讯退
300309,吉艾退
300297,蓝盾退
300273,和佳退
300216,千山退
300205,ST天喻
300202,聚龙退
300186,大华农
300178,腾邦退
300167,ST迪威迅
300156,神雾退
300104,乐视退
300090,盛运退
300089,文化退
300064,金刚退
300038,数知退
300028,金亚退
300023,宝德退
002931,锋龙股份
002781,奇信退
002776,*ST柏龙
002770,科迪退
002751,易尚退
002740,*ST爱迪
002711,欧浦退
002684,猛狮退
002680,长生退
002619,*ST艾格
002618,丹邦退
002604,龙力退
002509,天茂退
002508,老板电器
002504,*ST弘高
002503,*ST搜特
002499,科林退
002477,雏鹰退
002473,圣莱退
002464,众应退
002450,康得退
002447,晨鑫退
002417,深南退
002411,必康退
002359,北讯退
002260,德奥退
002259,ST升达
002220,天宝退
002147,新光退
002143,印纪退
002118,*ST紫鑫
002113,*ST天润
002071,长城退
002070,众和退
002053,云南能投
002018,华信退
002013,中航机电
002002,ST鸿达
000998,隆平高科
000982,中银绒业
000979,中弘退
000971,ST高升
000956,中原油气
000939,凯迪退
000918,*ST嘉凯
000916,华北高速
000866,扬子石化
000835,长动退
000832,*ST龙涤
000827,*ST长兴
000817,辽河油田
000806,银河退
000805,*ST炎黄
000787,*ST创智
000780,ST平能
000769,*ST大菲
000765,*ST华信
000763,锦州石化
000760,斯太退
000748,长城信息
000732,ST泰禾
000730,*ST环保
000699,S*ST佳纸
000693,华泽退
000689,ST宏业
000687,华讯退
000675,ST银山
000673,当代退
000671,ST阳光城
000667,ST美置
000666,经纬纺机
000662,天夏退
000660,*ST南华
000658,ST海洋
000653,ST九州
000621,*ST比特
000618,吉林化工
000616,*ST海投
000613,东海A退
000611,天首退
000606,顺利退
000602,金马集团
000594,国恒退
000588,PT粤金曼
000587,*ST金洲
000585,东电退
000583,S*ST托普
000578,盐湖集团
000569,长城股份
000562,宏源证券
000556,PT南洋
000549,S湘火炬
000542,TCL通讯
000540,*ST中天
000535,*ST猴王
000527,美的电器
000522,白云山A
000515,攀渝钛业
000511,烯碳退
000508,琼民源A
000502,绿景退
000418,小天鹅A
000412,ST五环
000406,石油大明
000405,ST鑫光
000150,*ST宜康
000047,ST中侨
000046,*ST泛海
000038,大通退
000033,新都退
000024,招商地产
000018,神城A退
000015,PT中浩A
000013,*ST石化A
000003,PT金田A
600988,赤峰黄金
600585,海螺水泥
600926,杭州银行
603338,浙江鼎力
002318,久立特材
002991,甘源食品
002001,新 和 成
603719,良品铺子
600273,嘉化能源
688366,昊海生科
600158,中体产业
600785,新华百货
603816,顾家家居
601229,上海银行
002154,报 喜 鸟
600027,华电国际
600761,安徽合力
000538,云南白药
002027,分众传媒
838163,方大新材
600054,黄山旅游
603099,长白山
600970,中材国际
600295,鄂尔多斯
601816,京沪高铁
300908,仲景食品
300791,仙乐健康
600489,中金黄金
688009,中国通号
600538,国发股份
002785,万里石
603556,海兴电力
600791,京能置业
002078,太阳纸业
300661,圣邦股份
603589,口子窖
000409,云鼎科技
688575,亚辉龙
600007,中国国贸
300276,三丰智能
600998,九州通
000877,天山股份
000028,国药一致
002311,海大集团
000036,华联控股
000703,恒逸石化
002952,亚世光电
603979,金诚信
600690,海尔智家
688156,路德环境
601187,厦门银行
600462,ST九有
003000,劲仔食品
600337,美克家居
000501,武商集团
601577,长沙银行
300656,民德电子
002424,贵州百灵
002966,苏州银行
000933,神火股份
601128,常熟银行
000166,申万宏源
002572,索菲亚
000338,潍柴动力
002142,宁波银行
600057,厦门象屿
601607,上海医药
002304,洋河股份
600138,中青旅
601318,中国平安
300847,中船汉光
603600,永艺股份
002936,郑州银行
601919,中远海控
600354,敦煌种业
600258,首旅酒店
300992,泰福泵业
600066,宇通客车
000425,徐工机械
000725,京东方Ａ
000937,冀中能源
601567,三星医疗
002305,南国置业
601997,贵阳银行
600837,海通证券
002458,益生股份
002831,裕同科技
002847,盐津铺子
601857,中国石油
603318,水发燃气
600036,招商银行
601872,招商轮船
300555,ST路通
600895,张江高科
601838,成都银行
002948,青岛银行
601117,中国化学
601811,新华文轩
000089,深圳机场
601228,广州港
603977,国泰集团
600997,开滦股份
600548,深高速
834021,流金科技
600064,南京高科
600741,华域汽车
000513,丽珠集团
600332,白云山
601107,四川成渝
002150,通润装备
605196,华通线缆
600010,包钢股份
601601,中国太保
600340,华夏幸福
601700,风范股份
601600,中国铝业
605098,行动教育
002557,洽洽食品
603993,洛阳钼业
002007,华兰生物
601238,广汽集团
600269,赣粤高速
688793,倍轻松
600717,天津港
301327,华宝新能
002681,奋达科技
000012,南  玻Ａ
600157,永泰能源
688570,天玛智控
002958,青农商行
600009,上海机场
301286,侨源股份
600022,山东钢铁
001227,兰州银行
002601,龙佰集团
002670,国盛金控
603223,恒通股份
300975,商络电子
688621,阳光诺和
600115,中国东航
835207,众诚科技
600989,宝丰能源
601899,紫金矿业
002807,江阴银行
600971,恒源煤电
300042,朗科科技
688041,海光信息
002567,唐人神
002223,鱼跃医疗
002493,荣盛石化
601018,宁波港
002475,立讯精密
000860,顺鑫农业
600649,城投控股
600236,桂冠电力
601866,中远海发
600519,贵州茅台
688223,晶科能源
002430,杭氧股份
600029,南方航空
000961,中南建设
600071,凤凰光学
001323,慕思股份
600582,天地科技
600720,中交设计
300858,科拓生物
601168,西部矿业
300923,研奥股份
301115,建科股份
688625,呈和科技
603638,艾迪精密
688188,柏楚电子
000895,双汇发展
002650,加加食品
000333,美的集团
002128,电投能源
002568,百润股份
600737,中粮糖业
002536,飞龙股份
301293,三博脑科
002416,爱施德
000543,皖能电力
605108,同庆楼
300818,耐普矿机
601727,上海电气
002299,圣农发展
600757,长江传媒
600637,东方明珠
600159,大龙地产
000009,中国宝安
600959,江苏有线
688016,心脉医疗
600999,招商证券
000598,兴蓉环境
600750,江中药业
601058,赛轮轮胎
688351,微电生理-U
300735,光弘科技
300308,中际旭创
688218,江苏北人
600282,南钢股份
600518,ST康美
688777,中控技术
600483,福能股份
600681,百川能源
000729,燕京啤酒
000819,岳阳兴长
002741,光华科技
601139,深圳燃气
600673,东阳光
300251,光线传媒
601718,际华集团
600821,金开新能
002507,涪陵榨菜
688217,睿昂基因
600426,华鲁恒升
001267,汇绿生态
688127,蓝特光学
600803,新奥股份
600348,华阳股份
600398,海澜之家
601900,南方传媒
600428,中远海特
603279,景津装备
000758,中色股份
000791,甘肃能源
002833,弘亚数控
603444,吉比特
603101,汇嘉时代
600546,山煤国际
603167,渤海轮渡
603260,合盛硅业
600031,三一重工
600226,瀚叶股份
601179,中国西电
002818,富森美
601158,重庆水务
002293,罗莱生活
603069,海汽集团
300494,盛天网络
002039,黔源电力
603278,大业股份
600487,亨通光电
300802,矩子科技
688303,大全能源
601921,浙版传媒
603215,比依股份
600030,中信证券
002791,坚朗五金
600038,中直股份
002146,荣盛发展
688981,中芯国际
603605,珀莱雅
601998,中信银行
002558,巨人网络
601113,华鼎股份
000630,铜陵有色
600576,祥源文旅
688349,三一重能
600502,安徽建工
002832,比音勒芬
002563,森马服饰
603990,麦迪科技
000517,荣安地产
600406,国电南瑞
300442,润泽科技
002768,国恩股份
603351,威尔药业
688425,铁建重工
301073,君亭酒店
601611,中国核建
603529,爱玛科技
301356,天振股份
600925,苏能股份
000524,岭南控股
600968,海油发展
430489,佳先股份
600908,无锡银行
600511,国药股份
000656,金科股份
688420,美腾科技
603833,欧派家居
688125,安达智能
600436,片仔癀
600459,贵研铂业
600916,中国黄金
000802,北京文化
000523,红棉股份
603668,天马科技
605377,华旺科技
603237,五芳斋
002476,宝莫股份
000818,航锦科技
601825,沪农商行
002867,周大生
603699,纽威股份
301011,华立科技
600221,海航控股
000709,河钢股份
600251,冠农股份
001238,浙江正特
600307,酒钢宏兴
002131,利欧股份
600026,中远海能
600376,首开股份
002233,塔牌集团
000776,广发证券
688626,翔宇医疗
301061,匠心家居
603886,元祖股份
300001,特锐德
601336,新华保险
000001,平安银行
600597,光明乳业
688332,中科蓝讯
601788,光大证券
300435,中泰股份
600928,西安银行
000031,大悦城
600098,广州发展
600198,大唐电信
000430,张家界
002555,三七互娱
603119,浙江荣泰
603707,健友股份
688076,诺泰生物
000800,一汽解放
002212,天融信
600808,马钢股份
600640,国脉文化
600021,上海电力
300796,贝斯美
002701,奥瑞金
600875,东方电气
688469,芯联集成-U
300274,阳光电源
000581,威孚高科
600958,东方证券
000848,承德露露
002697,红旗连锁
600992,贵绳股份
601860,紫金银行
300736,百邦科技
002629,仁智股份
601001,晋控煤业
002014,永新股份
002270,华明装备
603685,晨丰科技
002042,华孚时尚
688155,先惠技术
688548,广钢气体
002271,东方雨虹
000301,东方盛虹
002110,三钢闽光
000778,新兴铸管
600089,特变电工
002884,凌霄泵业
001289,龙源电力
831726,朱老六
601933,永辉超市
301067,显盈科技
300489,光智科技
601021,春秋航空
002746,仙坛股份
601598,中国外运
601991,大唐发电
300999,金龙鱼
600708,光明地产
301206,三元生物
600220,江苏阳光
601665,齐鲁银行
000898,鞍钢股份
002262,恩华药业
002385,大北农
600782,新钢股份
600575,淮河能源
002003,伟星股份
600820,隧道股份
603313,梦百合
300748,金力永磁
002367,康力电梯
600497,驰宏锌锗
600358,国旅联合
603619,中曼石油
002700,ST浩源
688396,华润微
603337,杰克股份
600871,石化油服
600766,*ST园城
600239,云南城投
603931,格林达
688819,天能股份
601101,昊华能源
688330,宏力达
601319,中国人保
603798,康普顿
300146,汤臣倍健
002371,北方华创
830896,旺成科技
300093,金刚光伏
301200,大族数控
002839,张家港行
601068,中铝国际
002575,群兴玩具
000685,中山公用
600375,汉马科技
002352,顺丰控股
002648,卫星化学
430476,海能技术
000830,鲁西化工
300473,德尔股份
601528,瑞丰银行
002064,华峰化学
000665,湖北广电
688553,汇宇制药-W
600072,中船科技
000568,泸州老窖
601010,文峰股份
000402,金 融 街
600736,苏州高新
000007,*ST全新
000948,南天信息
002314,南山控股
688092,爱科科技
600480,凌云股份
600017,日照港
600704,物产中大
603757,大元泵业
301311,昆船智能
002123,梦网科技
600995,南网储能
300059,东方财富
600395,盘江股份
603587,地素时尚
688053,思科瑞
601066,中信建投
301093,华兰股份
000959,首钢股份
600323,瀚蓝环境
000498,山东路桥
002597,金禾实业
300677,英科医疗
300459,汤姆猫
601918,新集能源
000100,TCL科技
000008,神州高铁
600688,上海石化
000900,现代投资
688298,东方生物
600603,广汇物流
000905,厦门港务
000923,河钢资源
600638,新黄浦
600143,金发科技
688786,悦安新材
600655,豫园股份
600208,新湖中宝
601608,中信重工
601118,海南橡胶
600320,振华重工
605099,共创草坪
000917,电广传媒
600060,海信视像
000027,深圳能源
603703,盛洋科技
002659,凯文教育
605166,聚合顺
000156,华数传媒
601375,中原证券
002157,*ST 正邦
600522,中天科技
601216,君正集团
000825,太钢不锈
870866,绿亨科技
600568,ST中珠
002736,国信证券
002321,华英农业
430564,天润科技
300984,金沃股份
831305,海希通讯
000415,渤海租赁
600508,上海能源
300031,宝通科技
002242,九阳股份
300750,宁德时代
603308,应流股份
688728,格科微
002500,山西证券
601162,天风证券
600429,三元股份
688117,圣诺生物
601211,国泰君安
000886,海南高速
603082,C北自
688766,普冉股份
688443,智翔金泰-U
600297,广汇汽车
000582,北部湾港
600313,农发种业
000408,藏格矿业
603153,上海建科
000869,张  裕Ａ
300345,华民股份
002419,天虹股份
603057,紫燕食品
002120,韵达股份
600096,云天化
600697,欧亚集团
600976,健民集团
300760,迈瑞医疗
000878,云南铜业
000589,贵州轮胎
600956,新天绿能
000858,五 粮 液
600388,龙净环保
601019,山东出版
002849,威星智能
000686,东北证券
000631,顺发恒业
832471,美邦科技
688506,百利天恒-U
600507,方大特钢
601828,美凯龙
301030,仕净科技
002216,三全食品
002030,达安基因
600831,广电网络
601016,节能风电
600305,恒顺醋业
601366,利群股份
600187,国中水务
002737,葵花药业
002521,齐峰新材
601880,辽港股份
002198,嘉应制药
002838,道恩股份
300058,蓝色光标
002155,湖南黄金
300406,九强生物
605266,健之佳
600604,市北高新
603128,华贸物流
603050,科林电气
600801,华新水泥
600807,济南高新
600261,阳光照明
301160,翔楼新材
000623,吉林敖东
688488,艾迪药业
600006,东风汽车
301509,金凯生科
688190,云路股份
300396,迪瑞医疗
600685,中船防务
605567,春雪食品
000591,太阳能
002461,珠江啤酒
300144,宋城演艺
000950,重药控股
000560,我爱我家
601966,玲珑轮胎
002438,江苏神通
000428,华天酒店
600566,济川药业
688278,特宝生物
600528,中铁工业
601512,中新集团
601200,上海环境
603179,新泉股份
002126,银轮股份
001213,中铁特货
000558,莱茵体育
000876,新 希 望
002732,燕塘乳业
872925,锦好医疗
600879,航天电子
600362,江西铜业
002594,比亚迪
301031,中熔电气
600132,重庆啤酒
000977,浪潮信息
300627,华测导航
003021,兆威机电
002345,潮宏基
600748,上实发展
002739,万达电影
002050,三花智控
002635,安洁科技
603883,老百姓
601399,国机重装
601005,重庆钢铁
603043,广州酒家
688401,路维光电
600901,江苏金租
000883,湖北能源
601106,中国一重
600509,天富能源
002790,瑞尔特
600827,百联股份
300991,创益通
603887,城地香江
605009,豪悦护理
601801,皖新传媒
000935,四川双马
600710,苏美达
605599,菜百股份
002478,常宝股份
002468,申通快递
688187,时代电气
603997,继峰股份
430718,合肥高科
000410,沈阳机床
002851,麦格米特
301498,乖宝宠物
002406,远东传动
300918,南山智尚
600740,山西焦化
300957,贝泰妮
600521,华海药业
002655,共达电声
002505,鹏都农牧
688212,澳华内镜
600658,电子城
000863,三湘印象
688526,科前生物
000927,中国铁物
600606,绿地控股
601007,金陵饭店
300255,常山药业
600862,中航高科
603606,东方电缆
000069,华侨城Ａ
603819,神力股份
600365,ST通葡
600219,南山铝业
688392,骄成超声
600993,马应龙
000561,烽火电子
002423,中粮资本
600085,同仁堂
601717,郑煤机
601326,秦港股份
000719,中原传媒
003027,同兴环保
300522,世名科技
002925,盈趣科技
002599,盛通股份
002019,亿帆医药
603227,雪峰科技
601126,四方股份
601003,柳钢股份
600382,广东明珠
600167,联美控股
600103,青山纸业
002379,宏创控股
601963,重庆银行
301004,嘉益股份
002138,顺络电子
600061,国投资本
300012,华测检测
300121,阳谷华泰
603868,飞科电器
601212,白银有色
002195,岩山科技
600280,中央商场
601008,连云港
603016,新宏泰
837174,宏裕包材
000893,亚钾国际
603235,天新药业
000951,中国重汽
600116,三峡水利
002226,江南化工
600285,羚锐制药
000401,冀东水泥
002415,海康威视
600166,福田汽车
688001,华兴源创
600160,巨化股份
000595,宝塔实业
000550,江铃汽车
603871,嘉友国际
600298,安琪酵母
601568,北元集团
603171,税友股份
688336,三生国健
600814,杭州解百
688522,纳睿雷达
301325,曼恩斯特
600037,歌华有线
688295,中复神鹰
000922,佳电股份
000728,国元证券
002673,西部证券
000807,云铝股份
600583,海油工程
000963,华东医药
603336,宏辉果蔬
000063,中兴通讯
605300,佳禾食品
603826,坤彩科技
688363,华熙生物
603323,苏农银行
002930,宏川智慧
600663,陆家嘴
688408,中信博
600368,五洲交通
002031,巨轮智能
002238,天威视讯
601579,会稽山
300856,科思股份
603116,红蜻蜓
002716,金贵银业
601377,兴业证券
603858,步长制药
600816,建元信托
603665,康隆达
000617,中油资本
001287,中电港
300096,ST易联众
002727,一心堂
600210,紫江企业
002526,山东矿机
600248,陕建股份
600380,健康元
600035,楚天高速
001286,陕西能源
000042,中洲控股
000906,浙商中拓
300972,万辰集团
002939,长城证券
002307,北新路桥
002252,上海莱士
833266,生物谷
300873,海晨股份
002230,科大讯飞
002356,赫美集团
000902,新洋丰
000400,许继电气
300130,新国都
000783,长江证券
600868,梅雁吉祥
300533,冰川网络
002611,东方精工
839371,欧福蛋业
600073,上海梅林
600885,宏发股份
600312,平高电气
002268,电科网安
600176,中国巨石
002614,奥佳华
300048,合康新能
301190,善水科技
600787,中储股份
000735,罗 牛 山
002511,中顺洁柔
833509,同惠电子
001914,招商积余
002891,中宠股份
600161,天坛生物
600346,恒力石化
300893,松原股份
601636,旗滨集团
600352,浙江龙盛
002482,*ST广田
002234,民和股份
600694,大商股份
601789,宁波建工
300987,川网传媒
002186,全 聚 德
605090,九丰能源
300102,乾照光电
000539,粤电力Ａ
300122,智飞生物
002694,顾地科技
300470,中密控股
605179,一鸣食品
600108,亚盛集团
300148,天舟文化
002467,二六三
601799,星宇股份
601599,浙文影业
000676,智度股份
300304,云意电气
600846,同济科技
002627,三峡旅游
832491,奥迪威
600578,京能电力
603225,新凤鸣
603053,成都燃气
000766,通化金马
300185,通裕重工
002470,金正大
000552,甘肃能化
002294,信立泰
603611,诺力股份
000557,西部创业
688697,纽威数控
601878,浙商证券
000060,中金岭南
603056,德邦股份
002969,嘉美包装
603511,爱慕股份
002085,万丰奥威
000777,中核科技
002481,双塔食品
301037,保立佳
603888,新华网
605365,立达信
002793,罗欣药业
000750,国海证券
601198,东兴证券
002086,*ST东洋
600438,通威股份
601456,国联证券
600903,贵州燃气
603163,圣晖集成
000965,天保基建
600062,华润双鹤
300591,万里马
600635,大众公用
603357,设计总院
300236,上海新阳
688538,和辉光电-U
002274,华昌化工
002004,华邦健康
002243,力合科创
601952,苏垦农发
002194,武汉凡谷
000792,盐湖股份
600215,派斯林
600572,康恩贝
603596,伯特利
600452,涪陵电力
000892,欢瑞世纪
300232,洲明科技
603995,甬金股份
688075,安旭生物
600703,三安光电
000635,英 力 特
603300,华铁应急
601958,金钼股份
001215,千味央厨
688123,聚辰股份
605016,百龙创园
000661,长春高新
600120,浙江东方
600448,华纺股份
002902,铭普光磁
300795,米奥会展
002937,兴瑞科技
605369,拱东医疗
600726,华电能源
688276,百克生物
688513,苑东生物
002946,新乳业
002227,奥 特 迅
688112,鼎阳科技
600173,卧龙地产
600620,天宸股份
600909,华安证券
605277,新亚电子
002587,奥拓电子
688114,华大智造
000716,黑芝麻
000768,中航西飞
603801,志邦家居
300888,稳健医疗
002843,泰嘉股份
603656,泰禾智能
600328,中盐化工
000726,鲁  泰Ａ
300558,贝达药业
600233,圆通速递
837344,三元基因
002775,文科股份
601678,滨化股份
600321,正源股份
688128,中国电研
000718,苏宁环球
600712,南宁百货
832735,德源药业
002156,通富微电
601233,桐昆股份
601888,中国中免
603095,越剑智能
301391,卡莱特
600369,西南证券
603155,新亚强
688215,瑞晟智能
002588,史丹利
600250,南京商旅
301262,海看股份
600109,国金证券
002044,美年健康
002187,广百股份
300811,铂科新材
603687,大胜达
000403,派林生物
